Languages,Total,Male,Female
          Wakashan languages; n.i.e.,10,5,0
          Iroquoian languages; n.i.e.,35,15,20
          Squamish,40,20,20
            Southern East Cree,45,20,25
          Cayuga,45,20,20
          Athabaskan languages; n.i.e.,50,20,35
          Oneida,55,20,40
          Algonquian languages; n.i.e.,45,25,20
            Sarsi (Sarcee),80,25,50
          Siouan languages; n.i.e.,55,30,25
              Southern Tutchone,70,30,40
        Haida,75,35,40
          Straits,80,40,40
          Haisla,90,40,50
              Tahltan,95,40,50
        Tlingit,95,40,55
          Heiltsuk,95,40,55
          Comox,80,45,40
            Sekani,90,45,45